Sentence,Polarity,Subjectivity
A Deep Dive on Covid Data Shows We Knew Way Back Those at Risk  But Destroyed the Economy for Everybody Anyway Hounsizzle  https t coCvmmKERpnp,0.0,0.2
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
BigAng Star LindaTorres Dead at 67  Had COVID19 RIP  https t co6TKpfFVBKY,-0.2,0.4
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
Out of the 1 100 new cases identified  300 were variants of concern  meaning 33 per cent of active cases are now variants   https t coF7a5tmlWWX abhealth covid,0.001515151515151511,0.5272727272727272
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
California to Allow Indoor Gatherings As Virus Cases Plummet covid California https t coMgMHBp2etq,0.0,0.0
We were listed as a key player in the COVID19 medicine market in a BrandEssenceMR report Learn more about the driving factors and trends of this market $AGN CN $AGW $AGNPFhttps t coMnSGZDG3m5,0.25,0.75
Why are Covid cases still high in places like Newark NJ We ask ⁦ShereefElnahal⁩ plus why one ER Doc says any new surge will never top last years nightmare 880InDepth Covid ⁦peterhaskell880⁩ ⁦wcbs880⁩ Give it a listen https t coFcVqQ53Bnp,0.011590909090909096,0.39030303030303026
Iran  Coronavirus death toll in 533 cities surpasses 242 000The fourth wave of COVID19 outbreak is more deadlyCoronavirus Covid Covid19 vaccines  https t coX0JmU9DfbE,0.25,0.25
On Cake we have a live discussion about using apps and wearable tech to detect Covid19    https t col1xX5MO4oD COVID19 COVID apps tech technology,0.13636363636363635,0.5
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
What has been achieved in vaccine delivery is due to the GPs and in spite of rather than because of HSE  Can someone remind me why we need this bureaucratic dysfunctional organisation in addition to Dept of Health Apart from jobs for boys  Time to end it covid LeoVaradkar,-0.125,0.375
A Deep Dive on Covid Data Shows We Knew Way Back Those at Risk  But Destroyed the Economy for Everybody Anyway Hounsizzle  https t coCvmmKERpnp,0.0,0.2
COVID unlock localpubs 4 localpeople,0.0,0.0
Update  Got my immunization records 24 hours after I requested it via the Minnesota Immunization Information Connection which combines your jabs into a single record  Both COVID jabs were there  https t coDn0XZ2io6Y https t coHhSeSWujIV,-0.07142857142857142,0.21428571428571427
Do things seem offkilter Its typical of April Fools Day or COVIDlife in general  Spend more time outside Backpacking hiking or walking around in circles  https t coB7ZXcVoAvW,0.09583333333333334,0.3875
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
COVID19 Breve guida per orientarsi https t comCGS5Wt4I0 covid famiglie,0.0,0.0
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
crabapple66 If we all left  who would be left to say “IT’S OVER”The Covid Lockdown will be over when the people say it is   Look around in your local park “IT’S OVER ”,0.0,0.0
Chic Zebra Stripes Pink Roses Trendy Pattern Premium Face Mask  https t coVMP3bd8A6W covid facemasks covid19 coronavirus socialdistancing,0.25,0.6
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
On the same day we have 430 COVID ICU patients in Ontario  153 ICU physicians have written a letter to fordnation celliottability and Dr  Williams  Immediate restrictions beyond the current Framework are required to protect Ontarians from variantdriven Wave 3  https t coTmCKPlHj07,0.0,0.2625
The drop in international oil prices coupled with the impacts of COVID19 and floods in South Sudan have had a severe negative impact on the economy  the country’s central bank governor said on Thursday  https t cotxDFd0BZl4,-0.09999999999999999,0.21666666666666667
New Blog Post  April 1st  2021 BC COVID19 Numbers Update  View at https t cobsbCWpNddE cariboopoli bcpoli cdnpoli COVID19 COVID19BC COVID19Canada WellsBC Quesnel WilliamsLake 100MileHouse CaribooRD,0.13636363636363635,0.45454545454545453
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
to Scare the crap out of you    Kids can now CREATE New COVID VIRUSES in their BASEMENTS with kits Available online   Think what TERRORISTS can do  Why is it still Legal to sell these kits to make amp  mutate Viral Warfare Have U seen this Documentary  https t coO7fwTO1M3k,-0.012727272727272731,0.37090909090909097
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
COVID19 is the product of policies and actions undertaken by the Chinese Communist Party  a form of “Opportunistic Bioterrorism”COVID Corona coronavirus DRASTIC coronavirus CCPVirus UnrestrictedBiowarfare UnrestrictedBioweapon OriginOfCOVID19 https t coh2MKUEo10h,0.0,0.0
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
I got nothing on the jokes happening daily  in clownworld okcoofer coof biden corona covid covid19 masquerade usa  USA https t coSJ9qjyKs8P,0.0,0.0
Friends  please help us report this page Despite the alarming COVID surge that’s causing our healthcare system to collapse  this page is denying the existence of COVID and even saying testing should be stopped The page now has thousands of followers https t cosMehV3QReG https t coesvAdGIHlY,-0.1,0.6
Republicans in Congress were as shameful going against desperatelyneeded covid relief ForThePeople as they are shameless now by claiming credit for what they tried to stop They said “NO” unanimously  but its not stopping them from taking the dough   https t co2tD1XDbah1,0.0,0.0
Even Sponge Bob is making people freak out   Deep Breaths People 🌬️Two SpongeBob SquarePants episodes pulled from Nickelodeon https t coFltTUZC2VS via nbcnews COVID pandemic Spongebob SpongeBobSquarepants StaySafe,0.0,0.4
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
First vacation in over a year with all COVID precautions  Enjoying the birthplace of American Independence  Go Philly https t coOECwkrFRxV,0.25,0.3111111111111111
When baseball is officially back but not for the Mets 😞 Mets metsvsnats covid,0.0,0.0
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
All SanDiegans between 50 and 64 years of age can now get COVID19 vaccine  https t col4yXI5VLoJ,0.0,0.0
Despite what fordnation says My intubated 3050 year old COVID patients were not congregating by choice They were working in essential jobs where they have the highest exposure risk and the least protection Do not insult their sacrifice ,-0.06666666666666667,0.3
